filename,R0_qp,num_points,bpp_geo,R0_bpp_att,"mseF,PSNR (p2point)","R0_  c[0],PSNRF","R0_  c[1],PSNRF","R0_  c[2],PSNRF",R1_qp,R1_bpp_att,"R1_  c[0],PSNRF","R1_  c[1],PSNRF","R1_  c[2],PSNRF",R2_qp,R2_bpp_att,"R2_  c[0],PSNRF","R2_  c[1],PSNRF","R2_  c[2],PSNRF",R3_qp,R3_bpp_att,"R3_  c[0],PSNRF","R3_  c[1],PSNRF","R3_  c[2],PSNRF",R4_qp,R4_bpp_att,"R4_  c[0],PSNRF","R4_  c[1],PSNRF","R4_  c[2],PSNRF",R5_qp,R5_bpp_att,"R5_  c[0],PSNRF","R5_  c[1],PSNRF","R5_  c[2],PSNRF"
longdress_vox10_1300,51,857966,1.020721101,0.033213437,inf,23.6617,30.1872,28.8897,46,0.087947541,25.5806,31.8326,30.8686,40,0.245156568,28.4838,34.1314,33.569,34,0.595650643,31.869,36.8799,36.4772,28,1.326001263,36.0724,40.1412,39.8844,22,2.479715979,40.4637,43.3972,43.2628
loot_vox10_1200,51,805285,0.975654582,0.007470647,inf,29.5531,41.593,40.9011,46,0.016957971,31.0332,43.3656,42.8489,40,0.048290978,33.2984,45.6328,45.4319,34,0.127040737,36.1561,47.5264,47.5572,28,0.304905717,39.6384,49.3285,49.5925,22,0.623302309,43.1218,50.8774,51.2326
redandblack_vox10_1550,51,757691,1.104988709,0.020525518,inf,28.9853,36.8849,28.042,46,0.046773685,30.8796,38.3577,30.3417,40,0.11608954,33.1978,39.982,33.5502,34,0.267855894,35.8546,41.6878,37.0221,28,0.617729391,39.1648,43.533,40.7787,22,1.267999752,42.6942,45.64,44.3589
soldier_vox10_0690,51,1089091,1.035042985,0.013229381,inf,26.2754,41.8282,42.061,46,0.033929213,28.1984,43.2439,43.5862,40,0.094199658,30.9764,44.7865,45.3151,34,0.226500816,34.1868,46.4201,47.1241,28,0.51042934,37.9525,48.3007,48.9979,22,0.992886728,41.7583,50.0801,50.8056
